"","median","vector_month","Temperature"
"X2008.01.01.10.00.00",272.624368201891,2008-01-01,-0.525631798109202
"X2008.02.01.10.00.00",279.134487862091,2008-02-01,5.98448786209099
"X2008.03.01.10.00.00",294.369960834566,2008-03-01,21.2199608345655
"X2008.04.01.10.00.00",296.532292438893,2008-04-01,23.3822924388926
"X2008.05.01.10.00.00",302.927738199186,2008-05-01,29.7777381991856
"X2008.06.01.10.00.00",306.26088398599,2008-06-01,33.1108839859904
"X2008.07.01.10.00.00",307.097813388075,2008-07-01,33.9478133880754
"X2008.08.01.10.00.00",305.17528328162,2008-08-01,32.0252832816204
"X2008.09.01.10.00.00",302.142126951203,2008-09-01,28.9921269512026
"X2008.10.01.10.00.00",296.85477318504,2008-10-01,23.7047731850404
"X2008.11.01.10.00.00",287.224066265211,2008-11-01,14.0740662652115
"X2008.12.01.10.00.00",281.196717388046,2008-12-01,8.04671738804603
"X2009.01.01.10.00.00",281.289216776921,2009-01-01,8.13921677692144
"X2009.02.01.10.00.00",285.672167271716,2009-02-01,12.5221672717163
"X2009.03.01.10.00.00",291.005137174858,2009-03-01,17.8551371748582
"X2009.04.01.10.00.00",289.972755296965,2009-04-01,16.8227552969646
"X2009.05.01.10.00.00",300.022877254023,2009-05-01,26.872877254023
"X2009.06.01.10.00.00",301.668859530039,2009-06-01,28.5188595300388
"X2009.07.01.10.00.00",306.372390098607,2009-07-01,33.2223900986073
"X2009.08.01.10.00.00",306.395514945826,2009-08-01,33.2455149458261
"X2009.09.01.10.00.00",302.382562006533,2009-09-01,29.2325620065329
"X2009.10.01.10.00.00",294.507759581692,2009-10-01,21.3577595816915
"X2009.11.01.10.00.00",288.513989249803,2009-11-01,15.3639892498028
"X2009.12.01.10.00.00",283.266866382227,2009-12-01,10.1168663822268
"X2010.01.01.10.00.00",284.904612411288,2010-01-01,11.7546124112878
"X2010.02.01.10.00.00",283.548165893601,2010-02-01,10.3981658936013
"X2010.03.01.10.00.00",291.126463428075,2010-03-01,17.9764634280749
"X2010.04.01.10.00.00",296.033049161949,2010-04-01,22.8830491619486
"X2010.05.01.10.00.00",301.378056656793,2010-05-01,28.2280566567935
"X2010.06.01.10.00.00",305.294075305005,2010-06-01,32.144075305005
"X2010.07.01.10.00.00",306.641652018279,2010-07-01,33.4916520182788
"X2010.08.01.10.00.00",305.049838904926,2010-08-01,31.8998389049265
"X2010.09.01.10.00.00",300.035865181913,2010-09-01,26.8858651819131
"X2010.10.01.10.00.00",298.711096537129,2010-10-01,25.5610965371291
"X2010.11.01.10.00.00",290.253421250881,2010-11-01,17.103421250881
"X2010.12.01.10.00.00",285.453589948689,2010-12-01,12.3035899486888
"X2011.01.01.10.00.00",281.899015830295,2011-01-01,8.74901583029526
"X2011.02.01.10.00.00",280.433280651095,2011-02-01,7.28328065109491
"X2011.03.01.10.00.00",286.497375860827,2011-03-01,13.3473758608274
"X2011.04.01.10.00.00",296.360281589032,2011-04-01,23.2102815890319
"X2011.05.01.10.00.00",303.242299477108,2011-05-01,30.0922994771078
"X2011.06.01.10.00.00",306.37143976242,2011-06-01,33.2214397624202
"X2011.07.01.10.00.00",306.428776712374,2011-07-01,33.2787767123738
"X2011.08.01.10.00.00",306.422441137793,2011-08-01,33.2724411377933
"X2011.09.01.10.00.00",301.63908232951,2011-09-01,28.4890823295104
"X2011.10.01.10.00.00",296.115094852766,2011-10-01,22.9650948527662
"X2011.11.01.10.00.00",286.013337962877,2011-11-01,12.8633379628766
"X2011.12.01.10.00.00",280.996830010031,2011-12-01,7.84683001003106
"X2012.01.01.10.00.00",280.915101097943,2012-01-01,7.76510109794253
"X2012.02.01.10.00.00",279.618208981313,2012-02-01,6.46820898131273
"X2012.03.01.10.00.00",288.057827880006,2012-03-01,14.9078278800063
"X2012.04.01.10.00.00",295.908555121442,2012-04-01,22.7585551214417
"X2012.05.01.10.00.00",300.140402162491,2012-05-01,26.9904021624915
"X2012.06.01.10.00.00",304.019040920678,2012-06-01,30.8690409206779
"X2012.07.01.10.00.00",307.025904616587,2012-07-01,33.8759046165866
"X2012.08.01.10.00.00",306.046108007711,2012-08-01,32.8961080077112
"X2012.09.01.10.00.00",300.365631838828,2012-09-01,27.2156318388285
"X2012.10.01.10.00.00",295.590826056229,2012-10-01,22.4408260562293
"X2012.11.01.10.00.00",287.654568557957,2012-11-01,14.504568557957
"X2012.12.01.10.00.00",282.914608435551,2012-12-01,9.7646084355506
"X2013.01.01.10.00.00",283.611204860677,2013-01-01,10.4612048606773
"X2013.02.01.10.00.00",284.761745204497,2013-02-01,11.6117452044974
"X2013.03.01.10.00.00",290.391536776736,2013-03-01,17.2415367767361
"X2013.04.01.10.00.00",294.17355802257,2013-04-01,21.0235580225698
"X2013.05.01.10.00.00",300.854104638986,2013-05-01,27.7041046389855
"X2013.06.01.10.00.00",306.387278698871,2013-06-01,33.2372786988715
"X2013.07.01.10.00.00",307.394951835901,2013-07-01,34.2449518359011
"X2013.08.01.10.00.00",305.190805439343,2013-08-01,32.0408054393428
"X2013.09.01.10.00.00",304.736227963191,2013-09-01,31.5862279631913
"X2013.10.01.10.00.00",296.395760806683,2013-10-01,23.2457608066827
"X2013.11.01.10.00.00",287.960893588924,2013-11-01,14.8108935889245
"X2013.12.01.10.00.00",281.748229155279,2013-12-01,8.59822915527923
"X2014.01.01.10.00.00",283.079333374644,2014-01-01,9.92933337464376
"X2014.02.01.10.00.00",278.07201200494,2014-02-01,4.92201200493992
"X2014.03.01.10.00.00",287.375486497686,2014-03-01,14.2254864976857
"X2014.04.01.10.00.00",294.737424160235,2014-04-01,21.5874241602349
"X2014.05.01.10.00.00",300.457497670246,2014-05-01,27.3074976702458
"X2014.06.01.10.00.00",306.012212683705,2014-06-01,32.8622126837055
"X2014.07.01.10.00.00",306.628664090389,2014-07-01,33.4786640903888
"X2014.08.01.10.00.00",305.882650183534,2014-08-01,32.7326501835341
"X2014.09.01.10.00.00",304.098235602934,2014-09-01,30.9482356029342
"X2014.10.01.10.00.00",295.405510499749,2014-10-01,22.2555104997494
"X2014.11.01.10.00.00",286.339936832502,2014-11-01,13.1899368325018
"X2014.12.01.10.00.00",283.755339182384,2014-12-01,10.6053391823839
"X2015.01.01.10.00.00",283.077115923541,2015-01-01,9.92711592354055
"X2015.02.01.10.00.00",284.568193401063,2015-02-01,11.4181934010629
"X2015.03.01.10.00.00",285.807748567739,2015-03-01,12.6577485677391
"X2015.04.01.10.00.00",296.368834614716,2015-04-01,23.2188346147155
"X2015.05.01.10.00.00",301.5123708379,2015-05-01,28.3623708379002
"X2015.06.01.10.00.00",306.515574084127,2015-06-01,33.3655740841268
"X2015.07.01.10.00.00",307.337298107219,2015-07-01,34.1872981072186
"X2015.08.01.10.00.00",305.16894770704,2015-08-01,32.01894770704
"X2015.09.01.10.00.00",299.771038164448,2015-09-01,26.6210381644479
"X2015.10.01.10.00.00",297.443981621028,2015-10-01,24.2939816210276
"X2015.11.01.10.00.00",286.378583837443,2015-11-01,13.2285838374428
"X2015.12.01.10.00.00",282.665620354537,2015-12-01,9.51562035453662
"X2016.01.01.10.00.00",285.473230229888,2016-01-01,12.3232302298884
"X2016.02.01.10.00.00",287.033682249067,2016-02-01,13.8836822490673
"X2016.03.01.10.00.00",290.147617155387,2016-03-01,16.9976171553865
"X2016.04.01.10.00.00",293.540950900706,2016-04-01,20.3909509007062
"X2016.05.01.10.00.00",302.900495228489,2016-05-01,29.7504952284894
"X2016.06.01.10.00.00",305.023546270417,2016-06-01,31.8735462704174
"X2016.07.01.10.00.00",306.858328668932,2016-07-01,33.7083286689322
"X2016.08.01.10.00.00",304.284501495601,2016-08-01,31.1345014956012
"X2016.09.01.10.00.00",304.766321942449,2016-09-01,31.6163219424487
"X2016.10.01.10.00.00",295.708984522156,2016-10-01,22.5589845221557
"X2016.11.01.10.00.00",286.800533104505,2016-11-01,13.6505331045046
"X2016.12.01.10.00.00",287.635878612944,2016-12-01,14.4858786129445
"X2017.01.01.10.00.00",281.732706997557,2017-01-01,8.58270699755695
"X2017.02.01.10.00.00",281.222376465097,2017-02-01,8.07237646509708
"X2017.03.01.10.00.00",288.261833381499,2017-03-01,15.1118333814986
"X2017.04.01.10.00.00",295.230015083869,2017-04-01,22.0800150838694
"X2017.05.01.10.00.00",303.596141317429,2017-05-01,30.4461413174291
"X2017.06.01.10.00.00",306.914715282699,2017-06-01,33.7647152826987
"X2017.07.01.10.00.00",307.315757153645,2017-07-01,34.1657571536448
"X2017.08.01.10.00.00",304.879095169982,2017-08-01,31.7290951699817
"X2017.09.01.10.00.00",302.140859836287,2017-09-01,28.9908598362866
"X2017.10.01.10.00.00",298.091794121884,2017-10-01,24.9417941218845
"X2017.11.01.10.00.00",291.101437908482,2017-11-01,17.9514379084819
"X2017.12.01.10.00.00",284.986658102105,2017-12-01,11.8366581021054
"X2018.01.01.10.00.00",283.803489549196,2018-01-01,10.6534895491957
"X2018.02.01.10.00.00",286.563899393923,2018-02-01,13.4138993939227
"X2018.03.01.10.00.00",293.795324220114,2018-03-01,20.6453242201136
"X2018.04.01.10.00.00",294.229311078878,2018-04-01,21.0793110788783
"X2018.05.01.10.00.00",298.915735596079,2018-05-01,25.7657355960794
"X2018.06.01.10.00.00",306.268803454216,2018-06-01,33.118803454216
"X2018.07.01.10.00.00",308.960789093474,2018-07-01,35.8107890934735
"X2018.08.01.10.00.00",305.019111368211,2018-08-01,31.869111368211
"X2018.09.01.10.00.00",301.605503784234,2018-09-01,28.4555037842337
"X2018.10.01.10.00.00",293.237160099571,2018-10-01,20.0871600995708
"X2018.11.01.10.00.00",287.239905201663,2018-11-01,14.0899052016628
"X2018.12.01.10.00.00",285.588537687254,2018-12-01,12.4385376872536
"X2019.01.01.10.00.00",284.532397404683,2019-01-01,11.382397404683
"X2019.02.01.10.00.00",282.150538141141,2019-02-01,9.00053814114142
"X2019.03.01.10.00.00",288.01094462811,2019-03-01,14.8609446281105
"X2019.04.01.10.00.00",293.211817801249,2019-04-01,20.0618178012488
"X2019.05.01.10.00.00",299.851183182891,2019-05-01,26.7011831828913
"X2019.06.01.10.00.00",304.465065371146,2019-06-01,31.3150653711456
"X2019.07.01.10.00.00",309.208193280842,2019-07-01,36.0581932808423
"X2019.08.01.10.00.00",305.541796271103,2019-08-01,32.3917962711029
"X2019.09.01.10.00.00",304.061489270367,2019-09-01,30.9114892703673
"X2019.10.01.10.00.00",295.569601881385,2019-10-01,22.4196018813846
"X2019.11.01.10.00.00",285.030373566711,2019-11-01,11.8803735667109
"X2019.12.01.10.00.00",286.110272253958,2019-12-01,12.9602722539584
"X2020.01.01.10.00.00",278.337155801134,2020-01-01,5.18715580113417
"X2020.02.01.10.00.00",286.545526227639,2020-02-01,13.3955262276392
"X2020.03.01.10.00.00",287.502514768025,2020-03-01,14.3525147680248
"X2020.04.01.10.00.00",292.738233601356,2020-04-01,19.5882336013559
"X2020.05.01.10.00.00",300.250324381463,2020-05-01,27.1003243814632
"X2020.06.01.10.00.00",306.408186094987,2020-06-01,33.2581860949872
"X2020.07.01.10.00.00",307.990812625198,2020-07-01,34.8408126251978
"X2020.08.01.10.00.00",305.984969713009,2020-08-01,32.8349697130093
"X2020.09.01.10.00.00",300.299108305733,2020-09-01,27.1491083057332
"X2020.10.01.10.00.00",293.890041060092,2020-10-01,20.7400410600922
"X2020.11.01.10.00.00",287.216463575715,2020-11-01,14.0664635757149
"X2020.12.01.10.00.00",279.555170014237,2020-12-01,6.40517001423666
