ndvi,vector_month
0.317483085,2000-01
0.3293393,2000-02
0.353509,2000-03
0.3582067,2000-04
0.3141138,2000-05
0.266636,2000-06
0.2398146,2000-07
0.2175559,2000-08
0.2135767,2000-09
0.2308065,2000-10
0.2343141,2000-11
0.2467237,2000-12
0.2364441,2001-01
0.2427666,2001-02
0.2578187,2001-03
0.330078,2001-04
0.3363682,2001-05
0.3056528,2001-06
0.2543497,2001-07
0.2333159,2001-08
0.2359954,2001-09
0.2516054,2001-10
0.2757549,2001-11
0.2977053,2001-12
0.2804507,2002-01
0.2908676,2002-02
0.3129793,2002-03
0.2935476,2002-04
0.2518703,2002-05
0.2386241,2002-06
0.2241662,2002-07
0.2204888,2002-08
0.2381592,2002-09
0.2356614,2002-10
0.2215728,2002-11
0.2421338,2002-12
0.2520534,2003-01
0.2869949,2003-02
0.275978,2003-03
0.3005108,2003-04
0.2743957,2003-05
0.2490083,2003-06
0.2203635,2003-07
0.2053693,2003-08
0.1942664,2003-09
0.1878472,2003-10
0.1933649,2003-11
0.2071386,2003-12
0.2300657,2004-01
0.2747694,2004-02
0.3074202,2004-03
0.3204424,2004-04
0.2859193,2004-05
0.2512726,2004-06
0.2293382,2004-07
0.2106528,2004-08
0.2018826,2004-09
0.2159004,2004-10
0.2182962,2004-11
0.2205951,2004-12
0.2444332,2005-01
0.2802816,2005-02
0.2997905,2005-03
0.310566,2005-04
0.2785291,2005-05
0.2534981,2005-06
0.2263353,2005-07
0.2105933,2005-08
0.2005547,2005-09
0.1961861,2005-10
0.2076001,2005-11
0.2124236,2005-12
0.2695047,2006-01
0.3605482,2006-02
0.3565032,2006-03
0.3413053,2006-04
0.3061134,2006-05
0.2666854,2006-06
0.2519844,2006-07
0.2414535,2006-08
0.2501525,2006-09
0.2609428,2006-10
0.2604635,2006-11
0.2447459,2006-12
0.2455851,2007-01
0.248143,2007-02
0.2534878,2007-03
0.2740723,2007-04
0.2579144,2007-05
0.2340469,2007-06
0.2155642,2007-07
0.2049947,2007-08
0.1943065,2007-09
0.2110588,2007-10
0.238176,2007-11
0.2620637,2007-12
0.3037391,2008-01
0.3119931,2008-02
0.3287018,2008-03
0.2964924,2008-04
0.2670582,2008-05
0.253016,2008-06
0.2304451,2008-07
0.2207747,2008-08
0.2111343,2008-09
0.2019884,2008-10
0.2057628,2008-11
0.2257553,2008-12
0.2277457,2009-01
0.2842317,2009-02
0.3351336,2009-03
0.3050518,2009-04
0.2839212,2009-05
0.2532728,2009-06
0.2305766,2009-07
0.2154821,2009-08
0.2038893,2009-09
0.213954,2009-10
0.2413228,2009-11
0.2285934,2009-12
0.2593353,2010-01
0.2999351,2010-02
0.3347593,2010-03
0.3335258,2010-04
0.2958465,2010-05
0.2586897,2010-06
0.230722,2010-07
0.2119353,2010-08
0.2027384,2010-09
0.1987274,2010-10
0.2035195,2010-11
0.2341471,2010-12
0.3237557,2011-01
0.3894122,2011-02
0.3862032,2011-03
0.3655398,2011-04
0.317202,2011-05
0.2808566,2011-06
0.2499391,2011-07
0.2387798,2011-08
0.2403241,2011-09
0.2455585,2011-10
0.228028,2011-11
0.2427589,2011-12
0.2651342,2012-01
0.3216681,2012-02
0.3095733,2012-03
0.3170317,2012-04
0.2996573,2012-05
0.2644441,2012-06
0.244194,2012-07
0.225036,2012-08
0.2221886,2012-09
0.2238534,2012-10
0.2295809,2012-11
0.2705978,2012-12
0.2933887,2013-01
0.2824029,2013-02
0.2674803,2013-03
0.2871409,2013-04
0.2860718,2013-05
0.2612425,2013-06
0.2380514,2013-07
0.2190885,2013-08
0.2026174,2013-09
0.1926581,2013-10
0.208246,2013-11
0.2446364,2013-12
0.2657184,2014-01
0.3247359,2014-02
0.3483833,2014-03
0.3155444,2014-04
0.2862663,2014-05
0.2522263,2014-06
0.2243786,2014-07
0.2107961,2014-08
0.1994223,2014-09
0.1977926,2014-10
0.2299685,2014-11
0.2612484,2014-12
0.2626759,2015-01
0.2571487,2015-02
0.2752875,2015-03
0.3044656,2015-04
0.2727202,2015-05
0.251881,2015-06
0.2343599,2015-07
0.2214066,2015-08
0.224807,2015-09
0.2143907,2015-10
0.1974107,2015-11
0.1879728,2015-12
0.2052435,2016-01
0.2489358,2016-02
0.2818828,2016-03
0.3046878,2016-04
0.2985115,2016-05
0.2724887,2016-06
0.2419139,2016-07
0.2274339,2016-08
0.2224381,2016-09
0.2097476,2016-10
0.2067711,2016-11
0.2004712,2016-12
0.2631374,2017-01
0.3751677,2017-02
0.3648614,2017-03
0.3249305,2017-04
0.287113,2017-05
0.2487202,2017-06
0.2246146,2017-07
0.207549,2017-08
0.1987856,2017-09
0.2061305,2017-10
0.2052254,2017-11
0.2096295,2017-12
0.2144395,2018-01
0.2935175,2018-02
0.3205432,2018-03
0.3438729,2018-04
0.322002,2018-05
0.2738093,2018-06
0.2427526,2018-07
0.2200386,2018-08
0.2092076,2018-09
0.2083401,2018-10
0.1945974,2018-11
0.1887129,2018-12
0.193765,2019-01
0.2558458,2019-02
0.3076784,2019-03
0.3072773,2019-04
0.2998289,2019-05
0.261923,2019-06
0.2237478,2019-07
0.205512,2019-08
0.195077,2019-09
0.1897656,2019-10
0.182122,2019-11
0.1938646,2019-12
0.2532495,2020-01
0.32257,2020-02
0.3592202,2020-03
0.3462672,2020-04
0.2989118,2020-05
0.2508093,2020-06
0.225287,2020-07
0.2094211,2020-08
0.2032579,2020-09
0.2011441,2020-10
0.2218171,2020-11
0.2567095,2020-12
0.3323535,2021-01
0.3486628,2021-02
0.3196723,2021-03
0.3063244,2021-04
0.2717741,2021-05
0.2369957,2021-06
0.2152105,2021-07
0.202014,2021-08
0.1966648,2021-09
0.1992035,2021-10
0.2266547,2021-11
0.3071024,2021-12
