ndvi,vector_month
0.0642363,2004-01
0.0873194,2004-02
0.1874462,2004-03
0.2940812,2004-04
0.4289645,2004-05
0.464708,2004-06
0.4023942,2004-07
0.3238094,2004-08
0.2912957,2004-09
0.259116,2004-10
0.2490568,2004-11
0.1546142,2004-12
0.0560019,2005-01
0.0807201,2005-02
0.1367107,2005-03
0.2883383,2005-04
0.4161211,2005-05
0.4581728,2005-06
0.392397,2005-07
0.317653,2005-08
0.2934672,2005-09
0.2906214,2005-10
0.2284112,2005-11
0.2470337,2005-12
0.098287,2006-01
0.1078149,2006-02
0.1920373,2006-03
0.3434884,2006-04
0.4488772,2006-05
0.4414071,2006-06
0.3686202,2006-07
0.3062766,2006-08
0.2772987,2006-09
0.2922336,2006-10
0.2780722,2006-11
0.2457056,2006-12
0.1152734,2007-01
0.1052425,2007-02
0.1574668,2007-03
0.2591003,2007-04
0.4188205,2007-05
0.4330933,2007-06
0.3713763,2007-07
0.311799,2007-08
0.2907735,2007-09
0.2682429,2007-10
0.2618257,2007-11
0.2181249,2007-12
0.0574907,2008-01
0.0183895,2008-02
0.1943757,2008-03
0.3318003,2008-04
0.4296005,2008-05
0.4376344,2008-06
0.3636111,2008-07
0.3039325,2008-08
0.2786433,2008-09
0.2962581,2008-10
0.2957076,2008-11
0.3040835,2008-12
0.0847904,2009-01
0.1401088,2009-02
0.209103,2009-03
0.2941668,2009-04
0.4281236,2009-05
0.4629936,2009-06
0.3982927,2009-07
0.3447588,2009-08
0.3138711,2009-09
0.2784196,2009-10
0.2587731,2009-11
0.2296748,2009-12
0.166342,2010-01
0.1845442,2010-02
0.2656816,2010-03
0.3547716,2010-04
0.4585367,2010-05
0.4577775,2010-06
0.3926379,2010-07
0.3337529,2010-08
0.3037138,2010-09
0.3030666,2010-10
0.3126038,2010-11
0.3207891,2010-12
0.155883,2011-01
0.1614692,2011-02
0.2052721,2011-03
0.3474385,2011-04
0.4873659,2011-05
0.5303749,2011-06
0.4485423,2011-07
0.3592207,2011-08
0.3277883,2011-09
0.3001173,2011-10
0.2501147,2011-11
0.1593612,2011-12
0.1007432,2012-01
0.0103109,2012-02
0.0823429,2012-03
0.2751422,2012-04
0.4543327,2012-05
0.4741867,2012-06
0.4038622,2012-07
0.3358073,2012-08
0.3029824,2012-09
0.2948879,2012-10
0.3112827,2012-11
0.3207966,2012-12
0.1214353,2013-01
0.1548838,2013-02
0.2611993,2013-03
0.3724513,2013-04
0.4898756,2013-05
0.4731781,2013-06
0.3808487,2013-07
0.3195622,2013-08
0.2919242,2013-09
0.2769642,2013-10
0.2542053,2013-11
0.2627037,2013-12
0.1355274,2014-01
0.1482905,2014-02
0.2252369,2014-03
0.3395981,2014-04
0.4495966,2014-05
0.4605413,2014-06
0.3742604,2014-07
0.3142743,2014-08
0.2933219,2014-09
0.3174551,2014-10
0.309303,2014-11
0.318246,2014-12
0.0720663,2015-01
0.1519197,2015-02
0.2240333,2015-03
0.3673511,2015-04
0.4993843,2015-05
0.5279952,2015-06
0.4272692,2015-07
0.3471298,2015-08
0.3179463,2015-09
0.3184455,2015-10
0.3101203,2015-11
0.2766943,2015-12
0.0697048,2016-01
0.139509,2016-02
0.2263494,2016-03
0.3443211,2016-04
0.483141,2016-05
0.5049895,2016-06
0.4386776,2016-07
0.3567367,2016-08
0.3225558,2016-09
0.2967107,2016-10
0.2473031,2016-11
0.1865267,2016-12
0.042667,2017-01
0.0802545,2017-02
0.1677651,2017-03
0.2979796,2017-04
0.4569798,2017-05
0.5104789,2017-06
0.4164686,2017-07
0.330099,2017-08
0.2952248,2017-09
0.2864169,2017-10
0.2608578,2017-11
0.265823,2017-12
0.1749366,2018-01
0.1849606,2018-02
0.3098007,2018-03
0.3898346,2018-04
0.4961804,2018-05
0.5082976,2018-06
0.4233924,2018-07
0.3479163,2018-08
0.3158439,2018-09
0.2915807,2018-10
0.288278,2018-11
0.2721572,2018-12
0.0557047,2019-01
0.1356442,2019-02
0.1927657,2019-03
0.3168598,2019-04
0.4711317,2019-05
0.4873358,2019-06
0.4155632,2019-07
0.3441834,2019-08
0.3240575,2019-09
0.2911669,2019-10
0.2671194,2019-11
0.2725563,2019-12
0.1038968,2020-01
0.114273,2020-02
0.1907218,2020-03
0.3340473,2020-04
0.4547729,2020-05
0.4933516,2020-06
0.4228505,2020-07
0.346601,2020-08
0.3104333,2020-09
0.288736,2020-10
0.2678156,2020-11
0.2527189,2020-12
0.1865977,2021-01
0.1437937,2021-02
0.1767401,2021-03
0.3499257,2021-04
0.4267994,2021-05
0.4343867,2021-06
0.3589278,2021-07
0.3250485,2021-08
0.3089632,2021-09
0.2950264,2021-10
0.277067,2021-11
0.2868471,2021-12
